Text,Topic
Python is a great programming language. Can you help?,Programming
How do I invest in the stock market Guide me.,Finance
How to prepare for a job interview I need details.,Career
Tips to stay mentally healthy. Guide me.,Mental Health
Renewable energy is the future. I need details.,Energy
How to prepare for a job interview Can you help?,Career
How do I invest in the stock market What's important?,Finance
What is the capital of France I need details.,Geography
The government announced a new education policy. Guide me.,Education
What are the symptoms of COVID-19 Please explain.,Health
The government announced a new education policy. What's important?,Education
How to prepare for a job interview Please explain.,Career
What are the effects of global warming Any advice?,Environment
The government announced a new education policy. Can you help?,Education
What are the symptoms of COVID-19 I need details.,Health
Tips to stay mentally healthy. What's important?,Mental Health
The government announced a new education policy. What should I know?,Education
What are the effects of global warming Any advice?,Environment
Python is a great programming language. Guide me.,Programming
How to bake a chocolate cake Guide me.,Cooking
What are the effects of global warming,Environment
How to bake a chocolate cake,Cooking
Tips to stay mentally healthy. What should I know?,Mental Health
What are the effects of global warming What should I know?,Environment
The government announced a new education policy. Please explain.,Education
What are the effects of global warming Please explain.,Environment
What are the effects of global warming Please explain.,Environment
What is the capital of France Guide me.,Geography
What is the capital of France Can you help?,Geography
How to bake a chocolate cake Any advice?,Cooking
Tips to stay mentally healthy.,Mental Health
What are the symptoms of COVID-19 Guide me.,Health
How to prepare for a job interview Please explain.,Career
Tips to stay mentally healthy. Guide me.,Mental Health
What is the capital of France Any advice?,Geography
What is the capital of France Please explain.,Geography
How to prepare for a job interview I need details.,Career
Python is a great programming language. Please explain.,Programming
How do I invest in the stock market What's important?,Finance
What are the effects of global warming,Environment
How do I invest in the stock market I need details.,Finance
How to bake a chocolate cake Can you help?,Cooking
How do I invest in the stock market What's important?,Finance
Python is a great programming language. What's important?,Programming
How to prepare for a job interview What should I know?,Career
Renewable energy is the future. Please explain.,Energy
Python is a great programming language. I need details.,Programming
How to bake a chocolate cake,Cooking
Python is a great programming language. Can you help?,Programming
The government announced a new education policy.,Education
What are the effects of global warming What should I know?,Environment
What are the effects of global warming Can you help?,Environment
How to prepare for a job interview Guide me.,Career
